score,comment
5,这款耳机主打低音。一直很喜欢索尼儿子跟柔和。这款耳机低音不哄耳。振膜很给力，低音响起来时候耳朵都跟着震动怀孕了。但是又不会出现混沌。配合APP音效调节很给力。另外这个耳机解析力很棒。很多人说漏音，其实是音场大。解析力高所以很细致。而并不是漏音。这个价位性价比感觉最高。我的solo3可以买这款两个。但是音质却和这款不是一个档次。音质超出预算。本人是耳机发烧友。这款耳机还是推荐各位下手的。
5,双十其他店多一百，还是值得的，怕买到假的，所以选了京东自营，为什么每次买的索尼产品都没有失望呢？比两千的森海大都好，超过我的爱科技，一大堆优点，听DJ很嗨，听人声可以关掉重低音，插有线也可以降噪，现在才知道降噪耳机真的很惊艳，有降噪可听很干净的音乐，这耳机听林美英孙露的歌很饱满温柔耐听立体感很宽，重量很轻，根本不是很大，做工不用说了索尼产品都懂，这个给我的2千多的飞利浦低音炮还舒服，大爱索尼大发好，直相信京东，质量很好，货真价实，下次还会光顾的。
5,先说物流，头天下午下的单第二天10天到的。京东的物流一直是没的说。下面说耳机本身，初烧，也就听个大概。注：以下全部是在未煲机有线模式下用笔记本电脑做的测试。下潜：同音量（30）没有IM70深，70能到23HZ，这个才27的样子.（可能跟没煲机有关）三频均衡：低音没有想象中那么低，动次打次的恰到好处。高频上面，乐器的声音会稍微表现不明显，人声还是挺明显的，高音有点干不圆润，中频中规中矩（或者说没有在意）.瞬态中上，在高节奏的鼓声下并不能很好地分离出来.动态水平强差人意，估计是为了主动降噪做的牺牲。音染上来说，还是加强了低音，会有轻微的&ldquo;轰&rdquo;感，但不是特别重。总的来说，这个价位来说，还是相当满意的一款无线降噪耳机。另外说点题外话，如果想给朋友试听的话，记得重置一下耳机，不然新设备搜不到的。
5,说实话，不装逼！不懂就是不懂，不强行装。和我250大元的国产电脑耳机没啥区别。。。也没啥惊艳的，低音效果我小米手机自带的耳机也能达到这效果。。。我不退货的理由就几个，颜值真的是高啊！还可以发发朋友圈，带出去也帅气些。。个人觉得比beats的颜值高多了。。。还有就是在大东儿再也不用买包耳朵的了。。这个就可以替代了。。真暖和。。所以买的理由就是。颜值即正义。。。便宜的那款又没线。。所以咯。。就买了
5,耳机亮点在外观上，非常亮骚，很适合年轻人配戴。音质低音不错，中音不突出，高音穿透力也不是很好，但是也对得起这个价位，比较适合听听流行音乐，特别是摇滚重金属类的。
5,很强势的低音，如果是人声就没有那么独当一面的风格了，索尼大法就是强，降噪效果没有solo3好吧，毕竟不是同一档位，这个价钱能买到这么好的耳机够不错了
5,怎么说呢，还不错吧，中规中矩。摇滚听时间长了有点儿哄耳，不压头发和耳朵，还可以，很舒适。
5,昨天傍晚订，今天中午到，速度没的说，包装上没感觉多NB，机身磨砂质感倒是感觉挺高级的，戴在头上也不算太重，就是有点热，不过还好，舒适度个人认为满分。重低音不开的效果就很好了，但是其他音源显得有些弱。可能煲好效果会更好一些，一千多值了。其他按键正常都是中文女声，例如：重低音效果启用；中电量等等。打电话也可以，就是对方听着可能有点空旷。没有线还是很爽的。期待煲出后的效果。
5,孩子已经用了一段时间，孩子非常喜欢，音质好，带着很是帅气的，快递小哥送货快服务好，信赖京东，好评好评。
5,包装盒错了。。吓我一跳拿到后赶紧拆开，里面没错。音质很震撼，特别是重低音模式。我比较喜欢听电音的歌曲。这款耳机很符合我的预期。蓝色的也很漂亮，比照片好看
5,嗯，来吧，骚年，细细品味高端音质，好日子?
5,东西收到用了五个小时，带着很舒服，音效也很不错。
5,此用户未填写评价内容
5,此用户未填写评价内容
5,重低音效果不错，但中高音是闷的哦，不过七百块的东西，还好吧
5,看了很久，终于忍不住入手了，低音很给力，做工没得说，满满的幸福！哈哈
5,带起来还是蛮舒适的，低音效果很棒，在这个价格上这款耳机的性价比还是中规中矩的，第一款索尼大法的耳机总体来说还是蛮不错的。但如果资金够的话推荐还是上N1那款。（吐槽一个问题:就是你不给个布袋之类的东西平时用完会很容易刮花的头顶金属表面那里，都这个价格了配个袋子会更好）
5,之前森海的耳机两年办，两边皮破了，就考虑入个头戴的。主要纠结三款，漫步者的860降噪，森海的HD4.40和SONYXB950，看上漫步者599的价格和降噪，然而准备下单的时候却没货，森海的，一直听森海的感觉音质平平没什么特色，就是感觉过得去。没试过SONY的，刚好活动看到699去掉其他优惠680+的价格，就决定下手不等**双11了，觉得价格合适就下手。试了一个晚上，设置了音效确实非常棒，跟以前听的歌完全不一样了，感觉就是耳机选对了。缺点是音效，低音只能在无线模式下开启使用，有线模式的时候就是个音质还不错的耳机。另外耳罩非常软，非常舒适，漏音情况应该是存在的，就是多大目前不清楚，需要戴上正常听音乐的时候旁人来听才知道。
5,还可以，感觉比2b要好，目前还没饱还有声场，中高音细节比不上hifi级的，低音很激情，要更重更深的低音还有一个加强按钮，这点很好迎合的电子音乐爱好者，
5,音质很好，尤其是重低音很有感觉，之前入手了n3ap，与头戴式相比n3ap没有主动降噪但是入耳式耳机方便携带，这款戴时间长了耳朵不会痛，支持nfc这很方便手机上有app还行吧，这个价位的耳机要啥自行车
5,有线和蓝牙模式，都在试用&hellip;&hellip;先来个经典的试音曲！腻害了，我的Sony！
5,音质不错，无所音质，就像高档场所专用的一样，正品索尼，很有节奏感，重低音都很出色，还可以当做普通耳机听，续航强。外观时尚大方，京东秒杀到的，很不错，相信京东，品质有保证。
5,外观相当满意正在听歌听流行曲还行人声还是有的伴奏带感后期追评
